Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;S4;I;2;BARUERI;SP;03/2021;354.593;0;354.593;0;354.593;1.255.800;0;0;0;0;0;631.342;1.887.142;NA;18,79%;18,79%;18,79%;NA%;0,48%
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;03/2021;363.045;0;363.045;0;363.045;1.668.070;0;0;297;0;297;111.052;1.779.419;8.678.610;20,40%;20,40%;20,40%;4,18%;1,45%
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;S4;I;2;CAMPO MOURAO;PR;03/2021;852.886;0;852.886;0;852.886;1.621.751;0;9.294;0;0;9.294;143.320;1.774.364;3.886.493;48,07%;48,07%;48,07%;21,94%;0,02%
COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO;3459850;b3S;S5;I;2;MARINGA;PR;03/2021;NA;NA;NA;NA;261.975;1.673.883;0;NA;NA;NA;0;93.764;1.767.647;NA;NA%;NA%;14,82%;NA%;12,04%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC/MG;87733770;b3S;S4;I;2;RODEIO BONITO;RS;03/2021;292.531;0;292.531;0;292.531;1.679.111;0;0;789;0;789;60.819;1.740.718;2.629.213;16,81%;16,81%;16,81%;11,13%;7,78%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;S4;I;2;CAMPO GRANDE;MS;03/2021;310.206;0;310.206;0;310.206;1.652.122;8.381;0;1.393;0;9.774;56.481;1.718.377;3.000.938;18,05%;18,05%;18,05%;10,34%;13,11%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE – SICREDI CELEIRO CENTRO OESTE;3566655;b3S;S4;I;2;SAO GABRIEL DO OESTE;MS;03/2021;270.779;0;270.779;0;270.779;1.584.762;9.795;0;1.000;0;10.795;16.678;1.612.235;2.630.555;16,80%;16,80%;16,80%;10,29%;11,90%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;S4;I;2;ENCANTADO;RS;03/2021;532.398;0;532.398;0;532.398;1.424.239;0;0;2.835;0;2.835;111.263;1.538.337;3.060.791;34,61%;34,61%;34,61%;17,39%;6,35%
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;S4;I;3;BARUERI;SP;03/2021;697.928;0;697.928;0;697.928;1.246.674;6.849;0;0;0;6.849;283.347;1.536.870;NA;45,41%;45,41%;45,41%;NA%;0,00%
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.;2015588;b3S;S5;I;2;PIMENTA BUENO;RO;03/2021;NA;NA;NA;NA;308.943;1.449.316;0;NA;NA;NA;0;82.385;1.531.701;NA;NA%;NA%;20,17%;NA%;4,99%
COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;S5;I;2;VENDA NOVA DO IMIGRANTE;ES;03/2021;NA;NA;NA;NA;420.187;1.371.488;0;NA;NA;NA;0;84.622;1.456.110;NA;NA%;NA%;28,86%;NA%;3,96%
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;S5;I;2;SAO MIGUEL D'OESTE;SC;03/2021;NA;NA;NA;NA;242.031;1.336.165;0;NA;NA;NA;0;60.787;1.396.952;NA;NA%;NA%;17,33%;NA%;10,62%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP;82527557;b3S;S4;I;2;CAPANEMA;PR;03/2021;232.738;0;232.738;0;232.738;1.318.257;0;0;401;0;401;77.935;1.396.592;2.091.805;16,66%;16,66%;16,66%;11,13%;15,30%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO -  SICREDI REGIÃO DA PRODUÇÃO RS/SC/MG;89468565;b3S;S4;I;2;SARANDI;RS;03/2021;206.139;0;206.139;0;206.139;1.314.927;0;0;558;0;558;46.337;1.361.822;2.064.589;15,14%;15,14%;15,14%;9,98%;16,51%
COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP;79052122;b3S;S4;I;2;MARECHAL CANDIDO RONDON;PR;03/2021;211.036;0;211.036;0;211.036;1.281.323;0;0;549;0;549;64.764;1.346.637;1.952.992;15,67%;15,67%;15,67%;10,81%;20,51%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI EVOLUÇÃO - SICREDI EVOLUÇÃO;35571249;b3S;S5;I;2;JOAO PESSOA;PB;03/2021;NA;NA;NA;NA;438.155;1.233.215;0;NA;NA;NA;0;80.024;1.313.239;NA;NA%;NA%;33,36%;NA%;7,61%
